name	Source	SYMBOL	ENSEMBL	GENENAME
5284	DIAMOnD	PIGR	ENSG00000162896	polymeric immunoglobulin receptor
5971	DIAMOnD	RELB	ENSG00000104856	RELB proto-oncogene, NF-kB subunit
2623	DIAMOnD	GATA1	ENSG00000102145	GATA binding protein 1
1053	DIAMOnD	CEBPE	ENSG00000092067	CCAAT enhancer binding protein epsilon
4353	DIAMOnD	MPO	ENSG00000005381	myeloperoxidase
5371	DIAMOnD	PML	ENSG00000140464	promyelocytic leukemia
8900	DIAMOnD	CCNA1	ENSG00000133101	cyclin A1
1056	DIAMOnD	CEL	ENSG00000170835	carboxyl ester lipase
4261	DIAMOnD	CIITA	ENSG00000179583	class II major histocompatibility complex transactivator
5209	DIAMOnD	PFKFB3	ENSG00000170525	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
8795	DIAMOnD	TNFRSF10B	ENSG00000120889	TNF receptor superfamily member 10b
2064	DIAMOnD	ERBB2	ENSG00000141736	erb-b2 receptor tyrosine kinase 2
5730	DIAMOnD	PTGDS	ENSG00000107317	prostaglandin D2 synthase
10648	DIAMOnD	SCGB1D1	ENSG00000168515	secretoglobin family 1D member 1
567	DIAMOnD	B2M	ENSG00000166710	beta-2-microglobulin
1736	DIAMOnD	DKC1	ENSG00000130826	dyskerin pseudouridine synthase 1
3988	DIAMOnD	LIPA	ENSG00000107798	lipase A, lysosomal acid type
6556	DIAMOnD	SLC11A1	ENSG00000018280	solute carrier family 11 member 1
2805	DIAMOnD	GOT1	ENSG00000120053	glutamic-oxaloacetic transaminase 1
1645	DIAMOnD	AKR1C1	ENSG00000187134	aldo-keto reductase family 1 member C1
921	DIAMOnD	CD5	ENSG00000110448	CD5 molecule
920	DIAMOnD	CD4	ENSG00000010610	CD4 molecule
124872	DIAMOnD	B4GALNT2	ENSG00000167080	beta-1,4-N-acetyl-galactosaminyltransferase 2
1509	DIAMOnD	CTSD	ENSG00000117984	cathepsin D
2	DIAMOnD	A2M	ENSG00000175899	alpha-2-macroglobulin
1655	DIAMOnD	DDX5	ENSG00000108654	DEAD-box helicase 5
790	DIAMOnD	CAD	ENSG00000084774	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
3308	DIAMOnD	HSPA4	ENSG00000170606	heat shock protein family A (Hsp70) member 4
5175	DIAMOnD	PECAM1	ENSG00000261371	platelet and endothelial cell adhesion molecule 1
142	DIAMOnD	PARP1	ENSG00000143799	poly(ADP-ribose) polymerase 1
5920	DIAMOnD	RARRES3	ENSG00000133321	retinoic acid receptor responder 3
56729	DIAMOnD	RETN	ENSG00000104918	resistin
6590	DIAMOnD	SLPI	ENSG00000124107	secretory leukocyte peptidase inhibitor
4586	DIAMOnD	MUC5AC	ENSG00000215182	mucin 5AC, oligomeric mucus/gel-forming
6609	DIAMOnD	SMPD1	ENSG00000166311	sphingomyelin phosphodiesterase 1
3818	DIAMOnD	KLKB1	ENSG00000164344	kallikrein B1
5079	DIAMOnD	PAX5	ENSG00000196092	paired box 5
1551	DIAMOnD	CYP3A7	ENSG00000160870	cytochrome P450 family 3 subfamily A member 7
1178	DIAMOnD	CLC	ENSG00000105205	Charcot-Leyden crystal galectin
4332	DIAMOnD	MNDA	ENSG00000163563	myeloid cell nuclear differentiation antigen
10148	DIAMOnD	EBI3	ENSG00000105246	Epstein-Barr virus induced 3
54575	DIAMOnD	UGT1A10	ENSG00000242515	UDP glucuronosyltransferase family 1 member A10
64321	DIAMOnD	SOX17	ENSG00000164736	SRY-box 17
250	DIAMOnD	ALPP	ENSG00000163283	alkaline phosphatase, placental
6707	DIAMOnD	SPRR3	ENSG00000163209	small proline rich protein 3
9982	DIAMOnD	FGFBP1	ENSG00000137440	fibroblast growth factor binding protein 1
3122	DIAMOnD	HLA-DRA	ENSG00000204287	major histocompatibility complex, class II, DR alpha
695	DIAMOnD	BTK	ENSG00000010671	Bruton tyrosine kinase
7352	DIAMOnD	UCP3	ENSG00000175564	uncoupling protein 3
1048	DIAMOnD	CEACAM5	ENSG00000105388	carcinoembryonic antigen related cell adhesion molecule 5
6617	DIAMOnD	SNAPC1	ENSG00000023608	small nuclear RNA activating complex polypeptide 1
5211	DIAMOnD	PFKL	ENSG00000141959	phosphofructokinase, liver type
2027	DIAMOnD	ENO3	ENSG00000108515	enolase 3
9332	DIAMOnD	CD163	ENSG00000177575	CD163 molecule
10501	DIAMOnD	SEMA6B	ENSG00000167680	semaphorin 6B
4435	DIAMOnD	CITED1	ENSG00000125931	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 1
26229	DIAMOnD	B3GAT3	ENSG00000149541	beta-1,3-glucuronyltransferase 3
4311	DIAMOnD	MME	ENSG00000196549	membrane metalloendopeptidase
3201	DIAMOnD	HOXA4	ENSG00000197576	homeobox A4
3204	DIAMOnD	HOXA7	ENSG00000122592	homeobox A7
1991	DIAMOnD	ELANE	ENSG00000197561	elastase, neutrophil expressed
3291	DIAMOnD	HSD11B2	ENSG00000176387	hydroxysteroid 11-beta dehydrogenase 2
5980	DIAMOnD	REV3L	ENSG00000009413	REV3 like, DNA directed polymerase zeta catalytic subunit
9156	DIAMOnD	EXO1	ENSG00000174371	exonuclease 1
351	DIAMOnD	APP	ENSG00000142192	amyloid beta precursor protein
354	DIAMOnD	KLK3	ENSG00000142515	kallikrein related peptidase 3
5111	DIAMOnD	PCNA	ENSG00000132646	proliferating cell nuclear antigen
875	DIAMOnD	CBS	ENSG00000160200	cystathionine-beta-synthase
5972	DIAMOnD	REN	ENSG00000143839	renin
4282	DIAMOnD	MIF	ENSG00000240972	macrophage migration inhibitory factor
2645	DIAMOnD	GCK	ENSG00000106633	glucokinase
5933	DIAMOnD	RBL1	ENSG00000080839	RB transcriptional corepressor like 1
1875	DIAMOnD	E2F5	ENSG00000133740	E2F transcription factor 5
7043	DIAMOnD	TGFB3	ENSG00000119699	transforming growth factor beta 3
4087	DIAMOnD	SMAD2	ENSG00000175387	SMAD family member 2
